시도별,2020,2021,2022,2023
전국,51829023,51738071,51628117,51325329
서울,9668465,9509458,9428372,9386034
부산,3391946,3350380,3317812,3293362
대구,2418346,2385412,2363691,2377801
인천,2942828,2948375,2967314,2997410
광주,1450062,1441611,1431050,1419237
대전,1463882,1452251,1446072,1442207
울산,1136017,1121592,1110663,1104167
세종,355831,371895,383591,386525
경기,13427014,13565450,13589432,13630821
강원,1542840,1538492,1536498,1527807
충북,1596303,1597427,1595058,1593469
충남,2121029,2119257,2123037,2130119
전북,1804104,1786855,1769607,1754757
전남,1851549,1832803,1817697,1804217
경북,2639422,2626609,2600492,2554324
경남,3340216,3314183,3280493,3251158
제주,674635,676759,678159,675252
